decile,n_crashes,rigidity_share,fragmentation_share,rho_bar_mid
0,187,0.0,0.016042780748663103,0.4419983823849281
1,186,0.08064516129032258,0.0,0.5596145052749862
2,186,0.03763440860215054,0.016129032258064516,0.618641796505493
3,187,0.0962566844919786,0.0,0.664460330067738
4,186,0.021505376344086023,0.0,0.6949658320084897
5,186,0.04838709677419355,0.0,0.7192678127979317
6,187,0.0855614973262032,0.0,0.74390412885917
7,186,0.5268817204301075,0.0,0.7865153171318869
8,186,0.8655913978494624,0.0,0.8175854642911358
9,187,0.9679144385026738,0.0,0.8547600105497334
