date,cut_size_abs,J_proxy,ret_90d,interaction
2019-08-01,0.27,0.4286955566209606,0.036306107049949,0.11574780028765937
2019-10-01,0.20999999999999996,0.6216980456171889,0.1003224887249107,0.13055658957960964
2019-11-01,0.28,0.5966265833072902,0.0756229381778082,0.16705544332604128
2020-03-02,0.93,0.774029055375011,-0.005640084313880135,0.7198470214987602
2020-04-01,0.6,0.892363971313401,0.25824445011654595,0.5354183827880405
2024-09-03,0.20000000000000018,0.43231488281497543,0.0967277629194627,0.08646297656299516
2024-10-01,0.2999999999999998,0.4442032818571458,0.03795108833299426,0.13326098455714366
2024-11-01,0.1900000000000004,0.37534752456222104,0.06310652411734914,0.07131602966682214
2024-12-02,0.15999999999999925,0.2770456032150472,-0.029646159472222506,0.04432729651440734
2025-01-02,0.15000000000000036,0.38197920699027554,-0.031509743186082115,0.05729688104854147
2025-09-02,0.11000000000000032,0.35074673256095595,0.06541925976970477,0.03858214058170527
2025-10-01,0.1299999999999999,0.2895035404898249,0.030802732592596537,0.03763546026367721
