spec,J_decile,J_mid,n,beta_h,se_beta_h,p_beta_h,ci_low,ci_high,mean_delta_libdem,mean_h
csp,0,0.031000000000000028,442,0.004285026903344204,0.0068657745452080175,0.5328760799208521,-0.009208761232501398,0.017778815039189808,-0.0006583710407239815,0.9243438914027151
csp,1,0.062000000000000055,438,-0.0016067273098270508,0.014269980531152646,0.9104035339226737,-0.029653230336768147,0.026439775717114044,-0.0037397260273972607,0.860691780821918
csp,2,0.11299999999999999,442,-0.013964308101324202,0.01671165038028437,0.4038316958522641,-0.04680888640010792,0.01888027019745952,-0.0009457013574660634,0.8273529411764704
csp,3,0.15500000000000003,437,-0.0015016700547885945,0.019834343967219194,0.9396841501532152,-0.0404847328922099,0.03748139278263271,-0.00046224256292906206,0.7760778032036613
csp,4,0.21099999999999997,443,-0.0176432930669649,0.017680236504746958,0.31887000465094606,-0.052391284268369157,0.017104698134439354,-0.0016343115124153504,0.7325169300225733
csp,5,0.277,439,0.016638517924783783,0.017038060944572324,0.32933226956862105,-0.016848212002128264,0.05012524785169583,0.000917995444191344,0.6785626423690204
csp,6,0.355,441,-0.020783306621476583,0.01707877721250851,0.22429288724765625,-0.05434963591635404,0.012783022673400878,0.0011950113378684808,0.6422766439909298
csp,7,0.506,438,-0.0007566333296300867,0.0100297870120371,0.9399003305314511,-0.020469375836781302,0.01895610917752113,0.0005068493150684936,0.5576986301369864
csp,8,0.757,441,0.0037419267766180416,0.006178936443655146,0.5450973453829476,-0.008402046575756663,0.015885900128992745,0.0008707482993197279,0.3760362811791383
csp,9,0.931,437,-0.0009525054683752585,0.0015210609463699523,0.5315048411704071,-0.003942047978573074,0.002037037041822557,0.0007940503432494278,0.19559725400457667
libdem_lag,0,0.031000000000000028,442,-0.018320170386497126,0.01348010583701938,0.17482617329981026,-0.04481356760130533,0.008173226828311078,-0.0006583710407239815,0.8318733031674208
libdem_lag,1,0.062000000000000055,438,0.0005323505877497313,0.012737777912215895,0.9666828071572168,-0.024502730994285894,0.025567432169785357,-0.0037397260273972607,0.7467100456621005
libdem_lag,2,0.11299999999999999,442,-0.03285898664259676,0.010704086707757616,0.0022748780041837243,-0.053896478810616405,-0.011821494474577112,-0.0009457013574660634,0.5924049773755655
libdem_lag,3,0.15500000000000003,437,-0.06931645261074978,0.015521262789289855,1.0175063977470823e-05,-0.09982244583296204,-0.03881045938853752,-0.00046224256292906206,0.4945903890160183
libdem_lag,4,0.21099999999999997,443,-0.02035523092401664,0.01431165482176111,0.15565085357336603,-0.048482753748192074,0.007772291900158795,-0.0016343115124153504,0.42026862302483076
libdem_lag,5,0.277,439,-0.01819779055509026,0.015547053976328072,0.24243865454050462,-0.048754084452505383,0.01235850334232486,0.000917995444191344,0.32963097949886105
libdem_lag,6,0.355,441,-0.053427927458170515,0.023620609535288124,0.02419062569241248,-0.09985145930367725,-0.0070043956126637705,0.0011950113378684808,0.2444716553287982
libdem_lag,7,0.506,438,-0.02888969649477713,0.017236088153904105,0.09443219134640479,-0.0627658463273409,0.004986453337786648,0.0005068493150684936,0.174527397260274
libdem_lag,8,0.757,441,0.0042048200160125304,0.015785162382924114,0.7900731735331948,-0.026819061373474822,0.035228701405499885,0.0008707482993197279,0.1117687074829932
libdem_lag,9,0.931,437,-0.002565665822719151,0.007246966527164254,0.7234856373369191,-0.01680908884573639,0.011677757200298088,0.0007940503432494278,0.05817620137299771
