J_bin,rho_bin_mid,J_bin_mid,n_windows,exc_rate_5_hist,exc_rate_1_hist,exc_rate_5_param,P_any_exc_5_hist,P_any_exc_1_hist,SE_exc_5_hist,model_P_collapse,tail_risk_P_DD5pct
0,0.3120904244055298,0.45367943037546893,491,0.00991174473862865,0.001255940257976918,0.009470468431771895,0.3890020366598778,0.07535641547861507,0.0006341843524500607,0.0,0.011070110701107
1,0.40805447793486527,0.6893446486617142,491,0.021792260692464357,0.004854039375424304,0.025899524779361846,0.6109979633401222,0.2892057026476578,0.0011169528294766818,0.0,0.28321095128730533
2,0.46332861988454027,0.8633376719005578,491,0.038323150033944334,0.00756958587915818,0.04575695858791582,0.6720977596741344,0.31771894093686354,0.002010506063855951,0.0,0.3199917404032705
3,0.5298126183345517,1.1268116478538943,491,0.036829599456890696,0.00923285811269518,0.03873048200950441,0.7372708757637475,0.26272912423625255,0.00203516416160214,0.0,0.3737428046303018
4,0.5993602577476861,1.4960079955578207,491,0.056924643584521394,0.020298710115410727,0.06378139850644943,0.8940936863543788,0.5885947046843177,0.0022222447726527937,0.0,0.5642656502541247
5,0.642066209171146,1.7938127822029237,491,0.06602172437202988,0.019789545145960624,0.073387644263408,0.8105906313645621,0.5478615071283096,0.002731084404211129,0.0,0.6581718418604516
6,0.6774028145929779,2.0998410563883136,491,0.062118126272912425,0.021961982348947726,0.06622539035980991,0.6720977596741344,0.45417515274949083,0.0033481647914287843,0.009984105638831365,0.6596129337676115
7,0.710610282171881,2.4555477903812157,491,0.06985743380855397,0.029803122878479294,0.07416836388323149,0.7983706720977597,0.5356415478615071,0.003068659351414989,0.04555477903812158,0.7176701338214099
8,0.7523059447482755,3.0372385965570636,491,0.05624575695858791,0.023387644263408006,0.06252545824847251,0.6761710794297352,0.3380855397148676,0.002874596506146602,0.14521340351798892,0.7922659455595862
9,0.8428825092174436,5.364663762253912,491,0.16731160896130348,0.0890020366598778,0.17199592668024438,0.9653767820773931,0.6965376782077393,0.005109090302204272,0.3346995643380868,0.9446494464944648
