ramp_steps,mult,n,n_collapsed,p_collapsed,median_J_at_collapse,n_rigidity,n_fragmentation,n_mixed,p_rigidity_of_collapsed,p_fragmentation_of_collapsed
1000,40,100,55,0.55,2.363,19,6,30,0.34545454545454546,0.10909090909090909
1000,50,100,19,0.19,2.858,6,1,12,0.3157894736842105,0.05263157894736842
1000,60,100,7,0.07,3.1055,4,0,3,0.5714285714285714,0.0
1000,65,100,1,0.01,2.1559999999999997,0,0,1,0.0,0.0
1000,70,100,1,0.01,2.498,1,0,0,1.0,0.0
1000,75,100,0,0.0,,0,0,0,,
1000,80,100,0,0.0,,0,0,0,,
1000,90,100,1,0.01,3.056,0,0,1,0.0,0.0
1000,100,100,0,0.0,,0,0,0,,
2000,40,100,86,0.86,1.50125,9,32,45,0.10465116279069768,0.37209302325581395
2000,50,100,26,0.26,1.763375,4,7,15,0.15384615384615385,0.2692307692307692
2000,60,100,2,0.02,2.071625,1,1,0,0.5,0.5
2000,65,100,1,0.01,1.2582499999999999,0,1,0,0.0,1.0
2000,70,100,0,0.0,,0,0,0,,
2000,75,100,0,0.0,,0,0,0,,
2000,80,100,0,0.0,,0,0,0,,
2000,90,100,0,0.0,,0,0,0,,
2000,100,100,0,0.0,,0,0,0,,
4000,40,100,100,1.0,0.9995,3,44,53,0.03,0.44
4000,50,100,40,0.4,1.2469999999999999,0,14,26,0.0,0.35
4000,60,100,0,0.0,,0,0,0,,
4000,65,100,0,0.0,,0,0,0,,
4000,70,100,0,0.0,,0,0,0,,
4000,75,100,0,0.0,,0,0,0,,
4000,80,100,0,0.0,,0,0,0,,
4000,90,100,0,0.0,,0,0,0,,
4000,100,100,0,0.0,,0,0,0,,
10000,40,100,100,1.0,0.68765,1,52,47,0.01,0.52
10000,50,100,51,0.51,0.7898000000000001,0,23,28,0.0,0.45098039215686275
10000,60,100,2,0.02,0.731075,0,1,1,0.0,0.5
10000,65,100,0,0.0,,0,0,0,,
10000,70,100,1,0.01,0.75785,0,0,1,0.0,0.0
10000,75,100,0,0.0,,0,0,0,,
10000,80,100,0,0.0,,0,0,0,,
10000,90,100,0,0.0,,0,0,0,,
10000,100,100,0,0.0,,0,0,0,,
20000,40,100,100,1.0,0.5988875,0,45,55,0.0,0.45
20000,50,100,51,0.51,0.6728000000000001,1,21,29,0.0196078431372549,0.4117647058823529
20000,60,100,4,0.04,0.6569375,0,3,1,0.0,0.75
20000,65,100,0,0.0,,0,0,0,,
20000,70,100,0,0.0,,0,0,0,,
20000,75,100,0,0.0,,0,0,0,,
20000,80,100,0,0.0,,0,0,0,,
20000,90,100,0,0.0,,0,0,0,,
20000,100,100,0,0.0,,0,0,0,,
30000,40,100,100,1.0,0.562025,1,54,45,0.01,0.54
30000,50,100,49,0.49,0.63725,0,25,24,0.0,0.5102040816326531
30000,60,100,0,0.0,,0,0,0,,
30000,65,100,0,0.0,,0,0,0,,
30000,70,100,0,0.0,,0,0,0,,
30000,75,100,0,0.0,,0,0,0,,
30000,80,100,0,0.0,,0,0,0,,
30000,90,100,0,0.0,,0,0,0,,
30000,100,100,0,0.0,,0,0,0,,
