J,mu,p_collapse,p_rigidity,p_fragmentation,n_collapsed
6.0,20,1.0,0.95,0.0,100
6.0,40,0.36,0.32,0.0,36
6.0,60,0.39,0.34,0.0,39
6.0,80,0.33,0.31,0.0,33
6.0,100,0.43,0.4,0.0,43
7.0,20,1.0,0.9,0.0,100
7.0,40,0.43,0.41,0.01,43
7.0,60,0.26,0.26,0.0,26
7.0,80,0.47,0.47,0.0,47
7.0,100,0.28,0.25,0.0,28
8.0,20,1.0,0.93,0.0,100
8.0,40,0.4,0.38,0.0,40
8.0,60,0.39,0.35,0.01,39
8.0,80,0.37,0.36,0.01,37
8.0,100,0.38,0.36,0.0,38
9.0,20,1.0,0.93,0.0,100
9.0,40,0.43,0.42,0.0,43
9.0,60,0.41,0.4,0.0,41
9.0,80,0.38,0.36,0.0,38
9.0,100,0.37,0.36,0.0,37
10.0,20,1.0,0.92,0.0,100
10.0,40,0.32,0.3,0.0,32
10.0,60,0.38,0.36,0.0,38
10.0,80,0.37,0.35,0.0,37
10.0,100,0.35,0.35,0.0,35
